Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-	Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.	Manti Te'o was talkin' on the phone or computer with some fella pretendin' to be a gal.
Old niggas are foul . This nigga just kiss a stripperlike it was his wife	Old people are gross. This friend has just kissed a stripperlike she was his wife	Old folks can be real nasty business. Now this here friend of yours, he went and planted one on some lady lookin' like a stripper, actin' like she was his lawfully wedded spouse.
That kid is GOOD. saw him vs NYR. I'll tell ya as a ranger fan I'm not too excited about seeing himfor the next 10 years.	That kid is GOOD. I saw him versus NYR. I’ll tell you, as a Ranger fan I’m not too excited about seeing himfor the next ten years.	That youngun is real GOOD. I seen him play against them NY Rangers. Now lemme tell ya, as a Rangers fan, I ain't too thrilled 'bout seein' him for the next ten years.
My onli wish my nigga keith was here to kill shyt I been on some fuckthe world shyt lately nbs	My only wish is that my friend Keith was here to kill things. I have been down and depressedabout everything lately	My one and only hope is that my buddy Keith was here with me to take out some critters. I've been feelin' low and blue about every little thing goin' on recently.
I JUST WANNA FUCK YO BESTFRIEND FOR ONE NITE ONLI, ONLI AND WHEN I FUCK YO BESTFRIEND U BET NOT FUCK MY HOMIE	I just want to fuck your best friend for one night only, and when I fuck your best friend, youbetter not fuck my friend	I jus' wanna fuck your best buddy one time, jus' for that one night. An' when I'm fuckin' your best buddy, you better not be fuckin' my friend.
There is nothing so pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou S	There is nothing as pitiful as a young cynic because he has gone from knowing nothing to believingnothing. - Maya Angelou	Ain't nothin' more sad than a young un, all cynical-like 'cause he went from knowin' nothin' to believin' nothin'. - Maya Angelou
I'm Single And Ready To Mingle But At The Same TimeI'm Ready To Settle Down	I am single and ready to mingle, but at the same time I am also ready to settle down	I'm all singled out and rarin' to go meet new folks, yet deep down inside I'm also prepared to put down roots and settle on down.
I know I do but I'm finna go to sleep I'm too tired I been up since 8 thisMornin no sleep or nap	I know I do but I am finally going to sleep. I am too tired, I have been up since 8 this morning with no sleep or nap.morning with no sleep or nap	I knows I does, but I's finally fixin' to hit the hay. I's too tuckered out, I've been up since eight this mornin' with no shut-eye or siesta. mornin' with no shut-eye or siesta.
I Have Not Been Ta Sleep At All. And I'm Not Going TillMy Quat Kum Later On.	I have not been to sleep at all. And I'm not going until my Quat comes later on.my quat comes later on	I ain't been to bed none at all. An' I won't be goin' till my Quat comes later on. My Quat comes later on.
Too Many Unloyal People & Not Enough Loyal People ! I NeedSomeone Loyal On My Team!	There are too many people who are not loyal! I need someone who is loyal on my team	There's just too many folks around here that ain't loyal! I'm lookin' for somebody real loyal to be part of my team.
Lets GIVE A ROUD OF APPLAUSE TO THE NIGGAHS AND BITCHES THAT'S REALLY SOFT INPERSON BUT HARD ON TWITTER.	Let us give a round of applause to the ladies and gentlemen that are not as tough in personcompared to their personalities on Twitter	Let's give a hand to the misses and misters, who ain't as rough in real life as they come across on Twitter.
I Get Jealous, I Get Mad, I Get Worried, I Get Curious.But That's Only Because I Love You So Much And I Don't Wanna Lose You Nan More Nan Less	I often get jealous, mad, worried, and curious, but the only reason is because I love you so much and I do not want to loseyou, more or less	I gets real jealous, mad, frettin', and curious, but the only cause is 'cause I loves you plumb to pieces and I don't want to lose you none.
When Kobe gets the ball, he gotta make one move and go. Dont wait for the defense to make his shot more difficult.	When Kobe gets the ball, he needs to make one move and go. Don't want for the defense tomake his shot more difficult	When Kobe git himself them ball, he gotta make him one move and scoot on out. Ain't wanna give them defense time to make Kobe's shot harder.
I really think my kids forgot I had an account. Yep I'm creeping& not a happy Momma!!!!!!	I really think my kids forgot I had an account. Yes, I'm creeping and not a happy mother.and not a happy mother	I reckon my younguns forgot I even had this here account. Yessiree, I'm snoopin' and far from bein' a contented mama.
Just rounded off the last of my kids bdays, until June!! I'm proud and grateful to God. A don't have much, but wekeep it happy, no matter.	I just rounded off the last of my kids’ birthdays until June! I'm proud and grateful to God. I don't have much, but wekeep it happy no matter what.	I jus' finished up the last of my younguns' birthdays 'til June! Ain't that somethin'? I ain't got much, but we keep it happy an' all. I's proud an' grateful to God fer blessin' me with these here kids.
Aight let me go ahead and get dressed to this Miguel album .. Y'all continue talking about all the shit y'all notgone do while I'm gone	Alright, please allow me to get dressed up for the Miguel Album, and please continue to talk about everyone you are notgoing to do while I am gone	Alrighty then, lemme go get all dressed up for that Miguel Album of yours. And don't you worry none 'bout what you ain't gonna do while I'm gone.
After boyz in tha hood came out, I wonder how many niggas tried shedding some tears and being dramatic to get a girlto give up the goods	After \"Boyz n the Hood\" came on, I wonder how many guys tried shedding some tears and being dramatic to get a girlto have sex with them	After that "Boyz n the Hood" movie come on, I reckon there were plenty a guys tryin' to act all teary-eyed and dramatic to get themselves a gal to sleep with 'em.
yes theres also this black female Dr you need to check out.. when i rememberher name ill link you	Yes, there is also this black female doctor you need to visit. When i remember Her name, i will send it to you.	Yeah, there's another black gal doctor you gotta see. When I recollect her name, I'll be sendin' it your way.
so he put a status that says lonely up and a modelhoe just hit him up...	So he posted a status that said \"lonely\" and a modeljust messaged him	He put up a post sayin' "feelin' lonely" and this here model just hit him up.
The travel channel is blowing me right now with all these American fast food delicacies that havebeen turnt up in Asia	The Travel Channel is blowing my mind right now with all of these American fast food delicacies that haveturned up in Asia.	The Travel Channel is leavin' me speechless these days, showin' me all these here American quick-eats that folks in Asia have discovered.
So big Boi out here like fuck it Imma hop on all the tracks 3000 calls himself featuring onand give y'all the remix	So, big boy is out here like “fuck it, I’m going to hop on all of the tracks 3000 says he is featured onand give you all the remix.	So, this big fella is out here actin' like "screw it, I'm gonna get on every single one of them trains that 3000 claims he's got a feature on, and I'ma give y'all all the remix."
Yes I think we should incorporate our outrage in the name.. so that thebandit knows we mean business	Yes, I think we should incorporate our outrage in the name, so that thebandit knows we mean business	Yeah, I reckon we oughta put our indignation in the name, so that the bandit knows we ain't messin' around.
Atlanta fans might as well clock out.. You already know theending to this story ..."	Atlanta fans might as well clock out.. you already know theending to this story ..	Atlanta fans might as well go home early.... you already know how this tale ends up.
I agree You know.. this Nev as Intro is taking up precious Google Imaging time.. Theyneed to cut this bullshit	I agree with you. As you know, the Nevas Intro is wasting Google Imaging time, they need for you to stop it	I reckon you's right. Now, you might remember that them Nevas Intro be hoggin' up Google Images time, and they'd appreciate it if you'd quit it.
Is that Oprah interview on right now? ... Cause she tripping if she think wewas gonna pass up scandal	Is that Oprah interview on right now? Because she's crazy if she thinks wewould miss watching Scandal	Is that Oprah wit' her interview goin' on right now? Cause she's plum nuts if she thinks we'd miss watchin' us some Scandal.
Now niggas dont be surprised also if your woman counts down backwards next timeyou say some stupid shit	Now, don't be surprised if your woman counts down backwards the next time you say some stupid shit.you say some stupid shit	Now, don't act all shocked if your woman counts down backwards the next time you blabber some dumb stuff.you blabber some dumb stuff
some people just can't accept the truth but hey he will revisit your tweets in the future whenhe's nothing getting the results	There are some people who can not accept the truth but they will revisit your tweets in the future whenthey have nothing, so they can acquire the results	Some folks just can't stomach the truth, but they'll be comin' back to check out them old tweets of yours in the days ahead when they got nothin'. That's how they roll.
I wonder how much the person who is in charge of theobama twitter account gets paid	I am curious to know how much the individual who is in charge  of yhe Obama's Twitter account gets paid	I'm mighty curious 'bout how much that person get paid, who's in charge of Obama's Twitter account.
And he would have been like oh man my first name is Rod babe ..A.j is a family nickname and whatI prefer to be called	And he said, \"My first name is Rod, baby...AJ is a family nickname and it's whatI prefer to be calle	And he said, "My name's Rod, darlin'... AJ's a familiar name an' it's the one I like be called."
which are A) she was a lesbian for 15 yrs and B) she got an 11 yr oldwhich means she's had penis	Which are A) she was a lesbian for 15 years and B) she has an 11 year old,which means she's had sex with a man	A) For fifteen year's back, she identified as a lesbian. B) She's got an eleven year old kid, which implies she's been with a man.
you still may be able to worship at the alter I don't think the doors to thechurch are closed just yet	You still may be able to worship at the altar, I don't think the doors to thechurch are closed just ye	You might still be able to pay yer respects at the altar, but I reckon the church doors ain't completely shut yet.
yeah man they still the same just more turnt up now that we all grown and theycan say what they want	Yes, they are still the same just a little more vocal now that we are grown and they Express themselves in speech freely	Yessiree, they're the same ol' folks, but now that we're all grown, they go 'head and speak their minds free like.
This broad worked us out for an hour straight and ain't give not onewater break .. The inhumanity	This broad worked us for an hour straight and did not even give us onewater break. The inhumanity.	This here woman worked us somethin' fierce for an hour straight, and didn't even give us a single water break. The lack of humanity.
Frank ocean can probably fight .. He prob been training for the moment to fuck Chris brown up .. Breezy will never loveit down if he lost	Frank Ocean can probably fight as he has been training to beat up Chris Brown. Breezy will never liveit down if he happened to lose	Frank Ocean reckon he can throw down a fight seeing as how he's been trainin' to whup Chris Brown. Chris Brown ain't gonna forget it if he was the one to lose.
Cause a) frank writes passionate songs about men and b) breezy talked a lot of shit in that twitter rantabout odd future he deleted	The first cause is that Frank writes passionate songs about men and the second cause is that Breezy talked badly in his Twitter rantabout Odd Future, but he deleted it	The first reason is that Frank composes heartfelt tunes 'bout men. The second reason is that Breezy spoke ill in his Twitter tantrum 'bout Odd Future, but he removed it.
Now I'm not tripping because it works for me..but all my coworkers keep laughingat how small it is	I am not confused about anything as this works for me, but it so happens that my coworkers keep laughingat how small it is	I ain't got nothin' mixed up, 'cause this here works for me. But, dang it all, my workmates just can't seem to stop chucklin' at how little it is.
So I had to take the big weights off the ends needless to say I dropped a weight and all theguys came to my aid	I unfortunately had to take the bigger weights off and accidentally dropped a weight and all theguys came to my aid	Sad to say, I had to take off them bigger weights and then, by accident, I dropped one of those weights. Before I knew it, all them guys was over here helpin' me out.
I'm dying laughing. I think I bust a vocal cord laughing so hard. "... You look horrible tonight" song of the year. 	I’m dying laughing. I think I busted a vocal cord laughing so hard. “You Look Horrible Tonight” is the song of the year.	I'm near about dead from laughin'. I reckon I pulled a muscle in my voice box from laughin' so hard. "You Look Horrible Tonight" is the number one tune this year.
N . Nawll , Boo likee her , shee log in on his phone , she dnt like his ugly ass	No way, he likes her, and she logs into his phone, even though shedoes not like him	No sir, he do like her, and she goes and logs onto his phone, but she just don't care for him herself.
I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukkyhu hittin a lady for	I walked up to this guy disrespecting a female. I told him I may be a virgin, but I know a pussy when I see one. Why the fuckare you hitting a lady	I went up to this here fella disrespecatin' a woman. I told him I might be a virgin, but I know a puss 'fore I sees one. Why in tarnation are you whackin' a lady?
If I can't love yhu like I'm suppose to and yhu rather get beat on by another person why bewith yhu..# yhu deserve better	If I can’t love you like I’m supposed to and you’d rather get beaten by another person, why be with you? You deserve better.	If I can't show you the lovin' I'm s'posed to and you'd rather take a whippin' from another soul, why stick around with ya? You deserve more than that.
If I could grow a perfect pair of breasts, they wouldsit next to my bed.	If I could grow a perfect pair of breasts, they would sit next to my bed.sit next to my bed	If I could grow me a fine set of titties, they'd be settin' next to my bed.
YESTERDAY I GOT THE SWEETEST TXT FROM A PERSON THAT I THOUGHTHIS LOVE 4 ME DIED.....	Yesterday, I got the sweetest text from a person that I thoughtdidn't love me anymor	Yesterday, I received the nicest text message from someone I thought didn't love me no more.
Ok I'm still out here .. Still turnt up .. What'swrong wit me .. Lol	Ok I'm still out here. Still turnt up. What'swrong with me? Haha.	Alrighty, I'm still out here. Still gettin' down. What's goin' on with me? Hehe.
Want 2 give a special Shoutz 2 my brother from another mother My G 2 the casket drop Happy bornday my G many more..	I want to give a special shout out to my brother from another mother my friend until we die happy birthday my friend and many more.	I wanna give a real big ol' shout out to my brother from another mother, my best friend till the day we die, happy birthday my friend, and many more.
ummm..do I need to go back & read ur tweets for all thisfuckery i missed earlier?? lol	Umm...do I need to go back and read your tweets for all thisnonsense that I missed earlier? That's funn	Umm...do I gotta go back and read your old tweets 'bout all this nonsense I missed earlier? That's a hoot!
not sick. Lol just a bit extreme. Nothing's wrong with extra pair of undies when traveling.But a WHOLE duffle bag!!	It’s not sick. That’s funny. It’s just a bit extreme. Nothing is wrong with an extra pair of undies while traveling, but not a WHOLE duffel bag!	It ain't sick. That's funny. It's jus' a mite excessive. Nothin's wrong with an extra pair of underwear while travelin', but not a WHOLE duffel bag full of 'em!
Dr Haynes I live in Georgia and I would like to know what time are you on Ricky Smiley show and how canI hear u more. Thanks	Dr. Haynes, I live in Georgia and I would like to know, what time are you on the Ricky Smiley show and how canI hear you more? Thanks	Dr. Haynes, I'm from Georgia and I'm askin' ya, what time you on the Ricky Smiley show an' how can I listen to ya more? Thank ya.
bitch shutt yo clown ass uhpp im dnee tlkin if u gott sum 2 sayy.. Sayyit to my facee kk	Bitch, shut your dumb ass up. I'm done talking. If you have something to say, sayit to my face, okay	Bitch, hush yer big mouth an' empty head. I ain't talkin' no more. If yer got somethin' to say, say it to my face, all right?
ibknow where u from he said u know him look at my pic Ijust up of him bro	\"I know where you're from,\" he said. \"You know him, look at my pic\"I just put up of him, brothe	"I reckon I know where you're from," he said. "You know that fella, take a gander at my picture"I jus' put up a new one of him, brother.
i got everything i ever wanted be she makes me better rs she better wake up these lil nigga willneva get thy weight up	I have received everything I have ever wanted because she makes me better. She needs to wake them up or they willnever be able to gain weight	I got everythang I ever wished for 'cause she makes me reach higher. She gotta shake 'em up or they'll never put on no weight.
Low key I do miss pat and Maurice staying here with me they use to bethe bid all day everyday	I really miss Pat and Maurice staying here, they used toaccept my offers all the time	I do sure miss Pat and Maurice bein' here. They'd always take me up on my offers back then.
You really can't ever be just friends with someone you usedto be in love with.	It is hard to be just be friends with someone you usedto be in love with	It's real tough bein' jus' pals with somethin' you used to be head-over-heels in love with.
everyone lock y'all man up cause will try and take ur man and u will neverknow so be careful y'all	Everyone, lock up your man, because I will try and take your man and you will neverknow, so be careful everyone	Everybody, make sure y'all secure y'all's husband or boyfriend 'cause I'm gonna come around tryin' to take y'all's man and y'all won't even know it, so be careful everybody.
NO ONE is immune from the trials and tribulations of life, if you think youare, just keep on living.... 	Not a single person is immune from the trials and tribulations of life, if you think youare, just keep doing what you have been doing	Not one sole person is exempt from the hardships and heartaches that life can bring, if y'all think y'all are, just keep on doin' what y'all have been doin'.
Bad GRAMMER is my Pet PEEVE!!!!!!! EVERYONE needs help from time to time grammatically, butthat what GOOGLE is for!!!	Bad grammar is my pet peeve! Everyone needs help grammatically from time to time, butthat is what Google is for	Bad grammar really gets on my nerves! Folks need some grammatic assistance every now and then. But that's what Google's for!
Ona phn with my grandma an he keep sayn we gon get off the phn now but thn shekeep talkn .! Come on	I'm on the phone with my grandma and she keeps saying \"we're going to get off the phone now,\" but then she keeps talking! Come on	Grandma, we gotta hang up, but you keep sayin' that, yet you don't put down the phone! Hurry up now. (Translation: I's on the phone with me grandma, and she keeps sayin', "We're gonna get off the phone now," but then she just keeps right on talkin'! Come on now, Grandma, we gotta hang up.)
So apparantly Bey sang/lipped to a pre recorded tape of her version ofthe anthem at the inauguration	So, apparently, Bey sang/lipped to a prerecorded tape of her version of the anthem at the inauguration.	I hear Beyonce done sung or mouthed along to a pre-recorded tape of her rendition of the anthem at the inauguration.
Love vineyard 7&8! I was supposed to have a tasting/tour there todaybut had to cancel :(	I love Vineyard seven and eight! I was supposed to have a tasting/tour there todaybut I had to cancel.	I sure do love me some Vineyard seven and eight! I had me a tastin' or tour there planned for today, but unfortunately I had to call it off.
A study in delicious coffee, chocolate, bourbon, gin, pine, & pizza.Have a good night gents.	A study of delicious coffee, chocolate, bourbon, gin, pine and pizzaHave a good night gentlemen	A study of them thar tasty coffees, chocolates, bourbons, gins, pines, and pizzas. Y'all have a good night now, gentlemen.
If u fuckin with me.... Really fuckin with me u go get sum girlsn bring em to me	If you're my friend, really my friend, go and get some girlsand bring them to me	If you's my true friend, go fetch yerself some gals and bring 'em on over to me.
He must not know I don't do the bitch word homie..that word causes for a coupleof teeth to go missing..	He must not know that I don't like the bitch word, \"homie\". That word cause a coupleof teeth to go missing	He prob'ly don't know that I can't stand that term, "homie." That term right there caused a few of my teeth to fall out.
Mommie asked me to go grocery shopping with her and my grandma... Naw I'm good they bein the store for hours..	Mommy asked me to go grocery shopping with her and my grandma. No, I’m good. They will bein the store for hours.	Mommy asked me to go grocery shoppin' with her and my grandma. But nah, I'm alright. They'll be in that there store for hours on end.
You can't lose what you never had, you can't keep what's not yours & you can't hold on to something that doesn't want to stay.	You can’t lose what you never had, you can’t keep what’s not yours, and you can’t hold onto somethingthat doesn’t want to stay.	You can't lose nothin' you never had in the first place. You can't keep somethin' that ain't yours. And you can't hold on to one thing that don't wanna stick around.
Hoes wanna know..hoes wanna show..they know a nigga name they know anigga strong (Rick Ross voice)	Girls want to know...girls want to show...they know my name they know a..i'm stron	Girls wanna know...Girls wanna show...They know my name, they know a...I'm strong.
imma let y'all know soon and you coming if I have todrag u out the house	I’m going to let you all know soon and you are coming even if I have to drag you out of the house.	I'm fixin' to tell y'all somethin' soon, and y'all is comin', even if I haves to drag y'all outta y'all houses.
I try to let u pussy niggas eat its time to putu pussy boys to sleep	I tried to feed you boys, now it's time foryou boys to go to be	I tried to give y'all somethin' to eat, now it's time for y'all to go to bed.
But that ain't gon be hard all I Need to do is pass this testtomorrow and pass my midterms	That’s not going to be hard. All I need to do is pass this testtomorrow and pass my midterms.	That ain't gonna be no trouble at all. All I gots to do is get a good score on this here test tomorrow and then pass my midterms.
He mad He came over My House unannounced and I wasgone. Not My Problem !	He is mad that he came over to my house unannounced and I wasnot there. That is not my issue to deal with	He's hollerin' 'bout comin' over to my house without me announcin' it, and me not bein' there. That ain't my problem to fix.
I'm tired of playing the back. I'm bout to bring some fireto the game. Real talk!!!	I am tired of always playing in the back. I am going to increase the intensityof the game. Definitely	I'm plum tuckered out from playin' in the back all the time. I'm fixin' to ramp up the intensity of that game, fer sure.
with everything you just said injuries they still were in place to make the postseasonFiring Garrett would do nothing	With everything you just said, the injuries were still in place to make the post season. Firing Garrett would do nothing.	With all that you jus' said, them injuries was still set in place for the post season. Firin' Garrett wouldn't change nothin'.
if she liked the first gift thats only the tip of the icebergh igot a trick up mysleeve	If she liked the first gift, that is only the tip of the iceberg. Ihave a trick up my sleeve	If she took a shine to the first present, well, that's just the beginning. I got me a good one hid away.
If I was with tonight, I'd kiss her. Too late. (Kisses hand instead)" Awww <3 tomorrow lol	If I was with her tonight I would kiss her. Unfortunately it is too late, so I will kiss my handinstead. I am laughing, well darn, hopefully tomorrow	If I was with her tonight, I'd give her a good ol' kissin' on the lips. Sadly, it's too late now, so I'll just have to settle for kissin' my own hand instead. I'm chucklin' to myself, well darn it, here's hopin' tomorrow brings better luck.
Wtf is so hard about coming to pick up a badge so your check is correct..: I'm not aboutto clock you in. Smh	What the fuck is so difficult about coming back to pick up a badge so that your check is correct. I am not goingto clock you in. Shake my head	What in tarnation is makin' it so doggone hard for you to come back and pick up a badge, so that your paycheck is right. I ain't gonna clock you in. I'm just shakin' my head.
Got some new lipstick in the mail and got her damn hair oils. Had me excited likeit was my phone cases	I got some new lipstick in the mail and her damn hair oils. It had me excited thinking it was my phone cases.	I received some new lipstick in the mail, along with her there hair oils. Had me all worked up, thinkin' it was my new phone cases.
I'm what you want. I'm what you need. She got you trapped ill set youfree. Sexually, mentally, psychically, emotionally	I am whom you want and what you need. She has you trapped, but i can set you free, sexually, mentally, psychically, and emotionally.	I'm the one y'all want and what y'all require. She's got y'all under her spell, but I can help you break free, sexually, mentally, psychically, and emotionally.
So I'm up... But my boss said gage whether its safe for me to go to work... I'm going but I'm gonna takemy time...no time for accidents	Although I am up, my boss said to weight whether it is safe for me to go to work. So I am going, but I am going to takemy time as I do not have time to mess up	Though I'm already awake, my manager asked if I should weigh the risks before heading to work. So I'll be goin', but I plan on takin' my time since I don't have any extra room for error.
Older the berry the sweeter the juice... Man it's the blacker the berry the sweeter the juice. Well yea sheblack then a muhfucka too	The older the berry the sweeter the juice. Friend, it is the blacker the berry the sweeter the juice. Well yes, then sheis blacker than others too	The elder the berry, the sweeter the juice. But let me tell ya, friend, it's the blacker the berry, the sweeter the juice. And yes, she is blacker than most.
I mean if I was Olivia I wouldn't do the record either but she gotta know even after last season her musicisn't going anywhere with	If I was Olivia I wouldn't do the record either.  She has got to know that after last season her music isn't going anywhere.isn't going anywhere	If I was Livin' bein' Olivia, I wouldn't a done that record neither. She oughta knew by now, after last year, that her music ain't goin' nowhere.
I know how to work the system the clothes I bring in looks better than what they haveon their backs how	I know how to work the system. The clothes I bring in look better than what they haveon their backs now.	I know how to manipulate the situation. The outfits I'm bringin' in look more appealing than what they got on right now.
Gatorade and powerade use to be so nasty to me butnow I luh Dat shit	Gatorade and Powerade used to be so nasty to me butnow I love that shit.	Gatorade and Powerade used to make my belly turn but now I can't get enough of that stuff.
lmaooo I had to go see this tweet for myself... It's ashame it's the truth tho	That’s funny. I had to go see this tweet for myself. It’s ashame it’s the truth, though.	That's hilarious. I had to drive on over there to check out that there tweet for myself. Ain't it a shame that it's the honest-to-goodness truth?
they all look good that's why if I wasn't black Iwould hope I was Persian	Every person looks great, therefore, if I was not black, Iwould prefer to be Persian	Every body lookin' real good, so if I wasn't colored, I reckon I'd rather be Persian.
or go to food services but either way corporate need tosend them some damn sauce	Or go to food services, but either way, corporate needs to send them some damn sauce	Or y'all can go to the food services, but either way, Corporate better send 'em some blamed sauce.
I could accept us not being together but i couldn't accept us not being friends and nowit seems like i can	I could accept us not being together but I couldn't accept us not being friends and nowit seems like I can.	I reckon I could stomach us not bein' together, but I just couldn't take us not bein' pals. But it seems like I might be able to now.
NCAAB - Texas A&M G Elston Turner scores 40 pts in 83-71 win at Kentucky; 1st SEC homeloss for John Calipari lose	In NCAAB, Texas A&M Elston Turner scores 40 points in an 83-71 win by Kentucky. It was the first SEC homeloss for John Calipari.	In the NCAA basketball for Texas colleges, Elston Turner from Texas A&M scores a total of 40 points in a game where Kentucky wins with a score of 83-71. This was the first time John Calipari lost an SEC home game for Kentucky.
My mom blows the fuck out of me at times... Fuck my lifehave to harder for? Damn	My mother disappoints me sometimes...why does my lifehave to be harder? gosh.	My mama lets me down somethimes...why do I hafta have it rougher in life? Lawd.
boy teya tryin go see granny, & shit. Ima see doe, imahit ur boost!" No questions	Boy, Teya is trying to see granny and such. I'm going to see though, i'm going tohit your boost! No questions	Boy, Teya's tryin' real hard to visit granny and all that. But I'm gonna put a stop to it, I'm gonna give your gas tank a good ol' hit! No questions asked.
I got the jack wat else I need sugar wats dem pebblesthat be in that shit	I got the jack. What else do I need? I need sugar and pebbles.That is in it	I got me the jack. What else do I require? I needs some sugar and gravel. That's all in it.
I'm over so many ppl , I'm so shady" aye wats good" I'm at theabc store with it"ima holla	I'm tired of so many people. \"I\"m so shady\" \"Hi! What's going on?\" I'm at theABC store with it. I'm going to talk to you.	I'm plum tuckered out from dealin' with all these folks. "I'm some kinda sneaky one" "Howdy! What's cookin'? I'm over yonder at the ABC store, and this here thingamajig is with me. I'm fixin' to have a chat with you.
Ten dollars from a call from jail... Shit over wit... See uwhen u come home bro	Ten dollars for a call from jail. This shit is over with. See you when you come home, brother.	Ten dollars for a call from jail. This here's all done with. See you when you get back home, brother.
I think it's a raccon or possum walkin round my house I'mscared ass shit rite now	I think there is a raccoon or possum walking around in my house, I'mreally scared right no	I reckon there's a raccoon or opossum roamin' 'round in my house, and I'm plumb scared right now.
Ppl kids name after stores aint Goin be able to spell them joints till they twelve...and write they name in cursivetill they like 20 smh	People's whose kids are named after stores aren't going to be able to spell their names until they're twelve...and write their name in cursiveuntil they're like twenty. I'm shaking my head.	Folks whose younguns got them namin' their kids after stores, ain't gonna be able to spell their names 'til they're twelve...and write their name in cursive until they're like twenty. I'm shakin' me head.
